Literal,row_count,unique_codes,unique_y_categories,codes,y_categories,is_duplicate_literal,same_literal_multiple_codes,same_literal_multiple_y_categories
Fumadora parto,8,8,6,64901 | D6861 | F1210 | F1211 | N049 | O99324 | O99354 | Z370,6 | D | F | N | O | Z,True,True,True
Asma part,7,7,3,D259 | D509 | J45909 | O3413 | O99354 | O9952 | O9972,D | J | O,True,True,True
HPV parto,7,7,4,B977 | D069 | G43909 | O3443 | O9832 | O9852 | O99354,B | D | G | O,True,True,True
Ansiedad parto,6,6,4,64841 | F419 | G43909 | O99343 | O99344 | O99354,6 | F | G | O,True,True,True
Escoliosis parto,6,6,5,64871 | 73730 | D563 | O9852 | O9902 | U071,6 | 7 | D | O | U,True,True,True
Mioma parto,6,6,5,65411 | D259 | F419 | O3413 | O99344 | Z370,6 | D | F | O | Z,True,True,True
ansiedad part,6,6,4,E039 | F419 | F429 | O99284 | O99344 | Z370,E | F | O | Z,True,True,True
hta icc,6,6,2,I110 | I482 | I5030 | I50810 | I509 | J22,I | J,True,True,True
Celiaca parto,5,5,4,5790 | 64891 | K900 | O99284 | O9962,5 | 6 | K | O,True,True,True
Hepatitis B parto,5,5,3,B181 | D6861 | O98413 | O9842 | O9912,B | D | O,True,True,True
Herpes genital parto,5,5,5,05410 | 64761 | A609 | O9832 | Z370,0 | 6 | A | O | Z,True,True,True
Histerectomia,5,5,5,0UT90ZZ | 6849 | E8786 | V8801 | Z90710,0 | 6 | E | V | Z,True,True,True
Obesidad morbida parto,5,5,5,27801 | 64911 | E6601 | O99214 | Z6842,2 | 6 | E | O | Z,True,True,True
Obesidad parto,5,5,5,27800 | 64911 | E669 | O480 | Z6838,2 | 6 | E | O | Z,True,True,True
asma part,5,5,5,49390 | 64891 | J449 | O99214 | Z6831,4 | 6 | J | O | Z,True,True,True
covid parto,5,5,3,O2662 | O6014X0 | O9852 | U071 | Z370,O | U | Z,True,True,True
doble anexectomia,5,5,3,0UT20ZZ | 0UT70ZZ | 6561 | Z90722 | Z9079,0 | 6 | Z,True,True,True
itu 3t,5,5,4,B9620 | N390 | O09523 | O23593 | Z3A32,B | N | O | Z,True,True,True
ltb,5,5,4,0UL70ZZ | 6632 | V252 | Z302 | Z9851,0 | 6 | V | Z,True,True,True
migraña parto,5,5,4,64891 | D6861 | O9912 | O99354 | Z370,6 | D | O | Z,True,True,True
mioma parto,5,5,4,2189 | 65411 | D251 | D259 | O3413,2 | 6 | D | O,True,True,True
obesidad mórbida part,5,5,4,64911 | E6601 | O99214 | O99824 | Z6841,6 | E | O | Z,True,True,True
plaquetopenia parto,5,5,5,2875 | 64931 | D696 | O9912 | Z370,2 | 6 | D | O | Z,True,True,True
shock septico,5,5,5,78552 | A419 | I129 | N189 | R6521,7 | A | I | N | R,True,True,True
Abdominalgia en gestante,4,4,3,N80121 | O3483 | O99891 | R109,N | O | R,True,True,True
Covid parto,4,4,4,O9852 | R05 | U071 | Z370,O | R | U | Z,True,True,True
Crohn parto,4,4,4,5559 | K5090 | O9962 | Z370,5 | K | O | Z,True,True,True
HPV part,4,4,3,B977 | N871 | O3443 | O9852,B | N | O,True,True,True
HTA irc 6,4,4,4,D649 | N186 | Y831 | Z940,D | N | Y | Z,True,True,True
Hipoacusia parto,4,4,3,H9190 | O9989 | O99891 | Z8614,H | O | Z,True,True,True
Hipotiroidismo 3t,4,4,3,M329 | O99283 | O99891 | Z87440,M | O | Z,True,True,True
Hipotiroidismo qx parto,4,4,2,E559 | E8351 | E890 | O99284,E | O,True,True,True
Histerectomía radical,4,4,2,0UT40ZZ | 0UT90ZZ | 0UTC0ZZ | 6869,0 | 6,True,True,True
Ligadura tubárica,4,4,3,0UL70ZZ | V252 | V2651 | Z9851,0 | V | Z,True,True,True
Migrañas parto,4,4,3,34690 | G43909 | O99354 | O9989,3 | G | O,True,True,True
Neumonia COVID parto,4,4,3,J1289 | O134 | O9852 | U071,J | O | U,True,True,True
Rasgo talasémico part,4,4,3,D563 | F4320 | O9902 | O99214,D | F | O,True,True,True
SOP part,4,4,3,E282 | O99284 | O9989 | Z370,E | O | Z,True,True,True
Tabaco part,4,4,2,F1010 | F17210 | O99314 | O99334,F | O,True,True,True
Tabaco parto,4,4,3,F17210 | O99214 | O99334 | Z3A41,F | O | Z,True,True,True
adenoamigdalectomia,4,4,3,0CTPXZZ | 0CTQXZZ | 283 | J353,0 | 2 | J,True,True,True
anemia part,4,4,4,64821 | D649 | O9902 | Z372,6 | D | O | Z,True,True,True
anemia parto,4,4,4,2859 | 64821 | O9902 | Z370,2 | 6 | O | Z,True,True,True
bronquiolitis vrs rn,4,4,2,J210 | P285 | P2889 | P393,J | P,True,True,True
colestasis part,4,4,4,64671 | K831 | O2662 | Z370,6 | K | O | Z,True,True,True
colestasis parto,4,4,4,5768 | 64671 | K831 | O700,5 | 6 | K | O,True,True,True
colon irritable parto,4,4,3,5641 | K589 | O9912 | O9962,5 | K | O,True,True,True
crohn parto,4,4,3,K5090 | O99354 | O9962 | Z370,K | O | Z,True,True,True
ecografía,4,4,2,8875 | 8876 | BW40ZZZ | BY4FZZZ,8 | B,True,True,True
endometriosis parto,4,4,3,D259 | N809 | O9989 | O99891,D | N | O,True,True,True
escoliosis part,4,4,3,D696 | M419 | O9912 | O9989,D | M | O,True,True,True
fumadora part,4,4,3,64901 | O9852 | O99334 | Z228,6 | O | Z,True,True,True
fumadora parto,4,4,3,64901 | O99334 | Z370 | Z3A30,6 | O | Z,True,True,True
hernia inguinal izquierda,4,4,3,0YU60JZ | 5305 | 55090 | K4090,0 | 5 | K,True,True,True
hipotir parto,4,4,4,D252 | E039 | O3413 | Z3A40,D | E | O | Z,True,True,True
hipotiroidisme part,4,4,3,2449 | E669 | O99214 | O99284,2 | E | O,True,True,True
hipotiroidismo 3t,4,4,3,E039 | K8020 | O99283 | O99613,E | K | O,True,True,True
histerectomia,4,4,4,0UT90ZZ | E8786 | V8801 | Z90710,0 | E | V | Z,True,True,True
histerectomía total,4,4,3,0UT90ZZ | 0UTC0ZZ | 6849 | Z90710,0 | 6 | Z,True,True,True
neutropenia febril qt,4,4,4,C222 | D701 | R5081 | T451X5A,C | D | R | T,True,True,True
obesidad morbida parto,4,4,3,E6601 | O99214 | Z6841 | Z6843,E | O | Z,True,True,True
obesidad mórbida parto,4,4,4,27801 | 64911 | E6601 | O99214,2 | 6 | E | O,True,True,True
obesitat part,4,4,4,64911 | E669 | O99214 | Z6836,6 | E | O | Z,True,True,True
podálica,4,4,2,66001 | O321XX0 | O322XX0 | O328XX0,6 | O,True,True,True
punción dural posparto,4,4,4,34931 | 66882 | G9741 | O746,3 | 6 | G | O,True,True,True
qt,4,4,4,3E03305 | 9925 | V5811 | Z9221,3 | 9 | V | Z,True,True,True
septoplastia,4,4,4,09SM0ZZ | 2188 | 470 | J342,0 | 2 | 4 | J,True,True,True
Adenoamigdalectomía,3,3,2,0CTPXZZ | 0CTQXZZ | J353,0 | J,True,True,True
Alérgica a amoxicilina,3,3,2,V140 | V141 | Z880,V | Z,True,True,True
Amniorrexis artificial,3,3,2,10907ZC | 10908ZC | 7309,1 | 7,True,True,True
Anemia part,3,3,3,64821 | D649 | O9902,6 | D | O,True,True,True
Anemia posparto,3,3,3,2851 | 64822 | O9903,2 | 6 | O,True,True,True
Anexectomía,3,3,2,V4577 | Z90722 | Z9079,V | Z,True,True,True
Ansiedad part,3,3,2,F419 | O99343 | O99344,F | O,True,True,True
Anti D,3,3,2,3E0234Z | O26893 | O360130,3 | O,True,True,True
Anti-D,3,3,2,3E0234Z | O26893 | O360130,3 | O,True,True,True
CIN II parto,3,3,3,B977 | N871 | O3443,B | N | O,True,True,True
COLESTASIS part,3,3,2,K831 | O1205 | O2662,K | O,True,True,True
COVID part,3,3,3,O9852 | U071 | Z370,O | U | Z,True,True,True
Cardiopatía isquémica,3,3,2,4148 | 4149 | I259,4 | I,True,True,True
Cefalea,3,3,2,7840 | R51 | R519,7 | R,True,True,True
Cesárea,3,3,3,10D00Z1 | 741 | O82,1 | 7 | O,True,True,True
Cistocele,3,3,3,0JQC0ZZ | 61801 | N8110,0 | 6 | N,True,True,True
Claudicacion intermitente,3,3,2,44021 | 4439 | I739,4 | I,True,True,True
Colelitiasis parto,3,3,3,64891 | K8020 | O9962,6 | K | O,True,True,True
Colestasis parto,3,3,3,K831 | O2662 | Z370,K | O | Z,True,True,True
Cólicos nefríticos de repetición,3,3,2,V1301 | V1309 | Z87448,V | Z,True,True,True
DA,3,3,2,0UT20ZZ | 0UT70ZZ | V4577,0 | V,True,True,True
Depresión,3,3,2,311 | F329 | F32A,3 | F,True,True,True
Depresión parto,3,3,2,F329 | O99343 | O99344,F | O,True,True,True
Desgarro,3,3,3,0WQNXZZ | 66441 | O700,0 | 6 | O,True,True,True
Desgarro tipo I,3,3,3,66401 | 7569 | O700,6 | 7 | O,True,True,True
ECOTV,3,3,2,8878 | 8879 | BU46ZZZ,8 | B,True,True,True
Ecografía,3,3,2,8879 | BW40ZZZ | BY4FZZZ,8 | B,True,True,True
Endometriosis part,3,3,2,N809 | O9989 | O99892,N | O,True,True,True
Esclerosis múltiple parto,3,3,3,G35 | O99354 | Z370,G | O | Z,True,True,True
Espondilitis anquilosante parto,3,3,2,M459 | O480 | O99891,M | O,True,True,True
Estancamiento pondoestatural,3,3,2,78341 | R6251 | R6252,7 | R,True,True,True
Extracción manual de placenta,3,3,3,10D17Z9 | 754 | O730,1 | 7 | O,True,True,True
FUMADORA part,3,3,3,64901 | F17210 | O99334,6 | F | O,True,True,True
Gonartrosis,3,3,2,71536 | M1710 | M179,7 | M,True,True,True
Graves,3,3,3,24200 | E0500 | O99284,2 | E | O,True,True,True
HTA ERC 3,3,3,3,I129 | N1830 | R809,I | N | R,True,True,True
HTA ERC icc,3,3,2,I130 | I509 | N189,I | N,True,True,True
HTA IRC icc,3,3,2,I130 | I509 | N189,I | N,True,True,True
HTA icc irc,3,3,2,I130 | I509 | N189,I | N,True,True,True
HTA irc 4 icc,3,3,2,I130 | I509 | N184,I | N,True,True,True
HTA irc ICC,3,3,2,I130 | I509 | N189,I | N,True,True,True
HTA parto,3,3,3,4019 | 64201 | O1002,4 | 6 | O,True,True,True
HTP,3,3,2,4168 | I272 | I2720,4 | I,True,True,True
Hashimoto parto,3,3,3,E063 | M419 | O99354,E | M | O,True,True,True
Hemorroides internas,3,3,2,4550 | 4552 | K648,4 | K,True,True,True
Hepatocarcinoma,3,3,3,1550 | 81703 | C220,1 | 8 | C,True,True,True
Hipercolesterolemia parto,3,3,2,2720 | E780 | E7800,2 | E,True,True,True
Hipertensión Insuficiencia cardíaca,3,3,3,F05 | I110 | R296,F | I | R,True,True,True
Hipertiroidismo part,3,3,2,D6851 | O9912 | O99284,D | O,True,True,True
Hipertransaminasemia,3,3,2,7904 | R740 | R7401,7 | R,True,True,True
Hipertrofia benigna de próstata,3,3,2,60020 | 60090 | N400,6 | N,True,True,True
Hipotirodismo part,3,3,3,E039 | O99284 | Z370,E | O | Z,True,True,True
Hipotiroidismo PART,3,3,2,E039 | O99284 | O99285,E | O,True,True,True
Histerectomia total,3,3,2,0UT90ZZ | 0UTC0ZZ | 6849,0 | 6,True,True,True
Histerectomía total,3,3,3,0UTC0ZZ | 6849 | Z90710,0 | 6 | Z,True,True,True
ILE,3,3,3,10A07ZZ | 63590 | Z332,1 | 6 | Z,True,True,True
Lumbalgia,3,3,2,7242 | M545 | M5450,7 | M,True,True,True
Mastectomia,3,3,3,8541 | V4571 | Z9010,8 | V | Z,True,True,True
Mastectomia bilateral,3,3,3,0HTV0ZZ | 8542 | Z9013,0 | 8 | Z,True,True,True
Mastectomía derecha,3,3,3,0HTT0ZZ | 8541 | Z9011,0 | 8 | Z,True,True,True
Miopia parto,3,3,3,64891 | H5210 | O9989,6 | H | O,True,True,True
NST no tranquilizador,3,3,2,65681 | 65971 | O76,6 | O,True,True,True
Nefrectomía radical derecha,3,3,2,0TB60ZZ | 0TT00ZZ | 8E0W0CZ,0 | 8,True,True,True
O2,3,3,3,3E0F7SF | 9396 | V462,3 | 9 | V,True,True,True
PART,3,3,3,10E0XZZ | 7359 | O80,1 | 7 | O,True,True,True
PEG,3,3,3,0DH63UZ | 4311 | BW25ZZZ,0 | 4 | B,True,True,True
PROSTATECTOMIA RADICAL,3,3,2,0VT00ZZ | 0VT30ZZ | 8E0W0CZ,0 | 8,True,True,True
PROSTATECTOMÍA RADICAL,3,3,2,0VT00ZZ | 0VT30ZZ | 8E0W0CZ,0 | 8,True,True,True
Parto,3,3,3,650 | 7359 | O80,6 | 7 | O,True,True,True
Psoriasis part,3,3,3,E669 | L409 | O9972,E | L | O,True,True,True
Psoriasis parto,3,3,3,64891 | L409 | O9972,6 | L | O,True,True,True
Punción dural posparto,3,3,3,66882 | G9741 | O746,6 | G | O,True,True,True
RTU vesical,3,3,3,0TBB8ZZ | V4574 | Z906,0 | V | Z,True,True,True
Rinitis alergica parto,3,3,3,D252 | J309 | O9952,D | J | O,True,True,True
Rubeola no inmune,3,3,3,D649 | O9902 | Z228,D | O | Z,True,True,True
SAHS,3,3,2,32723 | G4733 | G4739,3 | G,True,True,True
Septoplastia,3,3,3,09SM0ZZ | 2188 | J342,0 | 2 | J,True,True,True
Sinusitis parto,3,3,3,G43909 | J329 | O99354,G | J | O,True,True,True
Sondaje vesical,3,3,2,0T9B70Z | 0T9B7ZZ | 5794,0 | 5,True,True,True
Tiroiditis parto,3,3,2,L52 | O99284 | O9972,L | O,True,True,True
Trombocitopenia parto,3,3,3,D696 | O9912 | Z370,D | O | Z,True,True,True
VHB parto,3,3,2,B181 | O9842 | O9852,B | O,True,True,True
Vaginoitis parto,3,3,3,N760 | O23593 | Z3A34,N | O | Z,True,True,True
aborto,3,3,3,10A07ZX | 63490 | O039,1 | 6 | O,True,True,True
adherencias part,3,3,2,D72829 | O9912 | O9962,D | O,True,True,True
adhesiolisis,3,3,3,0DNW0ZZ | 5459 | 6146,0 | 5 | 6,True,True,True
amigdalectomia,3,3,3,0CTPXZZ | 282 | E8786,0 | 2 | E,True,True,True
amniorrexis,3,3,2,10907ZC | O4202 | O4292,1 | O,True,True,True
amoxicilina,3,3,3,3E03329 | 9921 | V141,3 | 9 | V,True,True,True
anemia 2t,3,3,2,D649 | Z3A17 | Z3A20,D | Z,True,True,True
anemia 3t,3,3,3,D649 | O99013 | Z3A34,D | O | Z,True,True,True
anemia ferropénica parto,3,3,3,64821 | D509 | O9902,6 | D | O,True,True,True
anemia posparto,3,3,2,64822 | O9081 | O9903,6 | O,True,True,True
anemización,3,3,2,2859 | D62 | D649,2 | D,True,True,True
anexectomia izquierda,3,3,2,0UT10ZZ | 0UT60ZZ | 6549,0 | 6,True,True,True
anexectomía bilateral,3,3,3,0UT70ZZ | 6563 | Z90722,0 | 6 | Z,True,True,True
anexectomía izquierda,3,3,2,0UT10ZZ | 0UT60ZZ | 6549,0 | 6,True,True,True
ansiedad parto,3,3,2,F418 | F419 | O99344,F | O,True,True,True
ansioso part,3,3,3,64841 | F419 | O99344,6 | F | O,True,True,True
anti d,3,3,2,3E0234Z | O26893 | O360130,3 | O,True,True,True
antibiotic,3,3,3,3E03329 | 9921 | E9308,3 | 9 | E,True,True,True
asma 2t,3,3,2,J209 | J45909 | O99512,J | O,True,True,True
bronquiectasias,3,3,2,4940 | 4941 | J471,4 | J,True,True,True
cannabis part,3,3,2,F1020 | F1210 | O99314,F | O,True,True,True
cardiopatía isquémica,3,3,2,4148 | 4149 | I259,4 | I,True,True,True
cesarea anterior,3,3,2,65421 | O3421 | O34211,6 | O,True,True,True
cistocele,3,3,3,0JQC0ZZ | 61801 | N8110,0 | 6 | N,True,True,True
colitis ulcerosa parto,3,3,3,64891 | K5190 | O9962,6 | K | O,True,True,True
corticoides,3,3,3,3E0333Z | 9923 | Z7952,3 | 9 | Z,True,True,True
da,3,3,2,0UT20ZZ | 0UT70ZZ | V4577,0 | V,True,True,True
doble anexectomía,3,3,3,07BC0ZX | 6561 | V4577,0 | 6 | V,True,True,True
enf parto,3,3,2,64891 | O9989 | O99892,6 | O,True,True,True
epilepsia parto,3,3,2,G40909 | O99354 | O9942,G | O,True,True,True
escoliosis parto,3,3,3,M419 | O9989 | Q774,M | O | Q,True,True,True
fibromialgia parto,3,3,2,M797 | O9989 | O99891,M | O,True,True,True
hashimoto part,3,3,2,E063 | E7211 | O99284,E | O,True,True,True
hernia de hiato parto,3,3,3,64891 | K449 | O9962,6 | K | O,True,True,True
hernia discal L5-S1 parto,3,3,2,M5127 | O9989 | O99891,M | O,True,True,True
hernia discal parto,3,3,2,M5126 | O9989 | O99891,M | O,True,True,True
hernia umbilical,3,3,2,0WQF0ZZ | 5341 | 5531,0 | 5,True,True,True
herpes genital parto,3,3,3,05410 | A609 | O9832,0 | A | O,True,True,True
hipercolesterolemia,3,3,2,2720 | E780 | E7800,2 | E,True,True,True
hiperlipemia part,3,3,3,E785 | O99284 | Z3A40,E | O | Z,True,True,True
hipospadias,3,3,3,0TSD0ZZ | 75261 | Q549,0 | 7 | Q,True,True,True
hipotiroidsimo part,3,3,2,E039 | E282 | O99284,E | O,True,True,True
histerectomía,3,3,3,6849 | V8801 | Z90710,6 | V | Z,True,True,True
ht,3,3,2,0UT90ZZ | 0UTC0ZZ | 6849,0 | 6,True,True,True
hta icc irc 3,3,3,2,I130 | I509 | N183,I | N,True,True,True
hta irc icc,3,3,3,C3412 | I509 | K269,C | I | K,True,True,True
ileostomía,3,3,3,0D1B0Z4 | V442 | Z932,0 | V | Z,True,True,True
inmunoglobulinas,3,3,2,30233S1 | 9911 | 9914,3 | 9,True,True,True
insuficiencia venosa parto,3,3,3,D696 | I872 | O9912,D | I | O,True,True,True
insulinoterapia,3,3,3,3E013VG | 9917 | Z794,3 | 9 | Z,True,True,True
intolerancia Lactosa parto,3,3,2,E739 | E7419 | O99284,E | O,True,True,True
intolerancia hidratos de carbono parto,3,3,3,G35 | K9049 | O99354,G | K | O,True,True,True
itu 2t,3,3,3,N390 | O23592 | Z3A27,N | O | Z,True,True,True
legrado,3,3,2,0UDB7ZZ | 0UDB8ZZ | 6902,0 | 6,True,True,True
leucocitosis part,3,3,3,D72829 | O9912 | Z370,D | O | Z,True,True,True
ligadura tubárica,3,3,2,0UL70ZZ | V252 | V2651,0 | V,True,True,True
mastectomia,3,3,3,8541 | V4571 | Z9010,8 | V | Z,True,True,True
migraña part,3,3,3,G43909 | O99214 | Z6832,G | O | Z,True,True,True
mioma part,3,3,3,65411 | D259 | O3413,6 | D | O,True,True,True
miopia parto,3,3,3,3671 | 64891 | O9989,3 | 6 | O,True,True,True
miopía parto,3,3,3,64891 | H5210 | O9989,6 | H | O,True,True,True
nalgas,3,3,2,10D07Z8 | 65221 | 66001,1 | 6,True,True,True
obesida 2t,3,3,3,E669 | O99212 | Z6841,E | O | Z,True,True,True
osteopenia,3,3,2,73390 | 73399 | M8580,7 | M,True,True,True
part,3,3,3,10E0XZZ | 650 | O80,1 | 6 | O,True,True,True
parto,3,3,3,10E0XZZ | 650 | O80,1 | 6 | O,True,True,True
pna 2t,3,3,3,N10 | O2302 | Z3A18,N | O | Z,True,True,True
podalica,3,3,3,10D07Z8 | 65221 | O322XX0,1 | 6 | O,True,True,True
polipo cervix parto,3,3,3,D251 | N841 | O3443,D | N | O,True,True,True
prolapso mitral parto,3,3,3,64861 | I341 | O9942,6 | I | O,True,True,True
prostatectomía radical laparoscópica asistida por robot,3,3,2,07TC4ZZ | 0VT34ZZ | 8E0W4CZ,0 | 8,True,True,True
protesis mamaria,3,3,3,8553 | V4382 | Z9882,8 | V | Z,True,True,True
quimioterapia,3,3,3,3E03305 | 9925 | Z9221,3 | 9 | Z,True,True,True
rubeola no inmune,3,3,3,D696 | O9852 | Z228,D | O | Z,True,True,True
sonda nasogástrica,3,3,2,0D9670Z | 0DH67UZ | 9607,0 | 9,True,True,True
sondaje vesical,3,3,2,0T9B70Z | 0T9B7ZZ | 5794,0 | 5,True,True,True
síndrome antifosfolipido parto,3,3,3,64931 | D6861 | O9912,6 | D | O,True,True,True
traqueostomia,3,3,3,311 | V440 | Z930,3 | V | Z,True,True,True
traqueostomía,3,3,3,0B113F4 | 311 | V440,0 | 3 | V,True,True,True
trombocitopenia parto,3,3,3,64931 | D696 | O9912,6 | D | O,True,True,True
tumor vesical,3,3,3,0TBB8ZZ | C679 | D494,0 | C | D,True,True,True
útero bicorne parto,3,3,3,65401 | O3403 | Q513,6 | O | Q,True,True,True
0020,2,2,2,64631 | O2623,6 | O,True,True,True
2 CCHH,2,2,2,30233N1 | 9904,3 | 9,True,True,True
35 años,2,2,2,65961 | O09523,6 | O,True,True,True
41,2,2,2,O480 | Z3A41,O | Z,True,True,True
617.1,2,2,2,6171 | N801,6 | N,True,True,True
646.31,2,2,2,64631 | O2623,6 | O,True,True,True
65961,2,2,2,65961 | O09523,6 | O,True,True,True
ABORTO,2,2,2,10A07ZX | O039,1 | O,True,True,True
AC x FA,2,2,2,42731 | I4891,4 | I,True,True,True
ACxFA,2,2,2,42731 | I4891,4 | I,True,True,True
ADENOCARCINOMA ENDOMETRIOIDE,2,2,2,83803 | C541,8 | C,True,True,True
ADENOMIOSIS,2,2,2,6170 | N800,6 | N,True,True,True
ALERGIA A CONTRASTES YODADOS,2,2,2,V1508 | Z91041,V | Z,True,True,True
AMO,2,2,2,07DR3ZX | 4131,0 | 4,True,True,True
ARTROSI,2,2,2,71590 | M1990,7 | M,True,True,True
Aborto,2,2,2,10A07ZX | 63490,1 | 6,True,True,True
Absceso de mama,2,2,2,6110 | N611,6 | N,True,True,True
Acondroplasia,2,2,2,7564 | Q774,7 | Q,True,True,True
Acortamiento cervical,2,2,2,64973 | O26873,6 | O,True,True,True
Adenoidectomía,2,2,2,0CTQXZZ | 286,0 | 2,True,True,True
Alcohol parto,2,2,2,F1010 | O99314,F | O,True,True,True
Alergia PENICILINA,2,2,2,V140 | Z880,V | Z,True,True,True
Alergia a AAS,2,2,2,V146 | Z886,V | Z,True,True,True
Alergia a Penicilina,2,2,2,V140 | Z880,V | Z,True,True,True
Alergia a Sulfamidas,2,2,2,V142 | Z882,V | Z,True,True,True
Alergia a polen,2,2,2,V1509 | Z91048,V | Z,True,True,True
Alergia a sulfamidas,2,2,2,V142 | Z882,V | Z,True,True,True
Alergia al látex,2,2,2,V1507 | Z91040,V | Z,True,True,True
Alergia al melocotón,2,2,2,V1505 | Z91018,V | Z,True,True,True
Alergia al polen,2,2,2,J301 | V1509,J | V,True,True,True
Alergia al polvo,2,2,2,V1509 | Z91048,V | Z,True,True,True
Alergia alimento,2,2,2,V1505 | Z91018,V | Z,True,True,True
Alergia penicilina,2,2,2,V140 | Z880,V | Z,True,True,True
Alergias ambientales,2,2,2,V1509 | Z91048,V | Z,True,True,True
Alergica a Penicilina,2,2,2,V140 | Z880,V | Z,True,True,True
Alzheimer,2,2,2,F0280 | G309,F | G,True,True,True
Alérgica a AINES,2,2,2,V146 | Z886,V | Z,True,True,True
Alérgica a Penicilina,2,2,2,V140 | Z880,V | Z,True,True,True
Amniocentesis,2,2,2,10903ZU | 751,1 | 7,True,True,True
Amniorexis artificial,2,2,2,10907ZC | 7309,1 | 7,True,True,True
Amniorrexis espontánea,2,2,2,65811 | O4292,6 | O,True,True,True
Ampicilina,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Analgesia,2,2,2,3E033NZ | 9929,3 | 9,True,True,True
Analgesia endovenosa,2,2,2,3E033NZ | 9929,3 | 9,True,True,True
Anemia 2t,2,2,2,D649 | O99012,D | O,True,True,True
Anemia 3t,2,2,2,D649 | O99013,D | O,True,True,True
Anemia Ferropénica parto,2,2,2,D509 | O9902,D | O,True,True,True
Anemia anteparto,2,2,2,2859 | 64823,2 | 6,True,True,True
Anemia ferropenica anteparto,2,2,2,2809 | 64823,2 | 6,True,True,True
Anemia ferropénica,2,2,2,2809 | D509,2 | D,True,True,True
Anemia ferropénica crónica,2,2,2,2809 | D509,2 | D,True,True,True
Anemia ferropénica part,2,2,2,D509 | O9902,D | O,True,True,True
Anemia normocítica,2,2,2,2859 | D649,2 | D,True,True,True
Anemia postparto,2,2,2,64822 | O9081,6 | O,True,True,True
Anemia sang,2,2,2,2851 | D62,2 | D,True,True,True
Anexectomía bilateral profiláctica,2,2,2,V5042 | Z4002,V | Z,True,True,True
Anexectomía izquierda,2,2,2,0UT60ZZ | Z90721,0 | Z,True,True,True
AngioTC abdominal,2,2,2,8801 | B42CYZZ,8 | B,True,True,True
Ansiedad PARTO,2,2,2,F419 | O99344,F | O,True,True,True
Anti -D,2,2,2,3E0234Z | O360130,3 | O,True,True,True
Anti- D,2,2,2,3E0234Z | O360130,3 | O,True,True,True
Antibioterapia,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Antibioteràpia,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Antibiotico,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Antibioticoteràpia,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Antibióticos,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Antibióticoterapia,2,2,2,3E03329 | 9921,3 | 9,True,True,True
Anèmia,2,2,2,2859 | D649,2 | D,True,True,True
Apendicectomía laparoscópica,2,2,2,0DTJ4ZZ | 4701,0 | 4,True,True,True
Artritis reumatoide parto,2,2,2,M069 | O9989,M | O,True,True,True
Artrosi,2,2,2,71590 | M1990,7 | M,True,True,True
Ascitis,2,2,2,78959 | R188,7 | R,True,True,True
Ascitis maligna,2,2,2,78951 | R180,7 | R,True,True,True
Asma 2t,2,2,2,J45909 | O99512,J | O,True,True,True
Asma bronquial,2,2,2,49390 | J45909,4 | J,True,True,True
Atelectasia,2,2,2,5180 | J9811,5 | J,True,True,True
Atelectasias,2,2,2,5180 | J9811,5 | J,True,True,True
