dataset,Literal_required_clean,token_len
train,Fibrilación auricular rápida,5
train,Polipectomia endoscòpica,9
train,restos ovulares,5
train,TROMBOSIS historia,5
train,HIPERCOLESTEROLÈMIA,10
train,Trastorno Distímico,7
train,robot,3
train,Desgarro perineal de 3º grado,10
train,Nefropatía diabética 2,6
train,hipertensión,3
train,ateromatosis aórtica,4
train,Rn,4
train,Hipoacusia parto,4
train,b2790,5
train,Nutricion parenteral,5
train,migraña 3t,5
train,GS: A (+),6
train,Síndrome de tunel carpiano bilateral,7
train,TC de abdomen,5
train,MIOPIA parto,5
train,Gastritis crónica antral,5
train,Amenorrea 40,6
train,oxigeno domiciliario,4
train,bradicardia,3
train,Desnutrición,4
train,MSSA,4
train,Sindrome ansioso-depresivo,6
train,0020 ANTEpaRTO,8
train,FISURA ANAL,5
train,Grupo sanguineo materno A+,8
train,COLESTASIS part,7
train,linfangioma,5
train,Hemorroides,5
train,hernia lumbar,4
train,dolor postoperatorio agudo,5
train,microcefalia,3
train,Déficit Vit D.,6
train,Alérgica a:gramineas,9
train,Hipoacusia derecha,4
train,anexectomía izquierda,5
train,Gonartrosis de rodilla,6
train,Gonalgia derecha,5
train,BRONQUIECTASIAS,8
train,hipotiroidismo parto,4
train,gestación prolongada,4
train,quiste anexial izquierdo,6
train,QUISTE HEMORRÁGICO ovario DERECHO,11
train,Oxígeno,3
train,taquiarritmias auriculares,5
train,ca mama cii,6
train,esteroidea,4
train,cuadro confusional,4
train,Úlcera duodenal,4
train,diuretico,5
train,radiografía de tórax,5
train,Colecistitis crònica,5
train,sonda vesical,4
train,APGAr,5
train,ilpt piel nasal,6
train,Electroencefalograma,5
train,Transaminasas,5
train,Membranas desgarradas,7
train,anemia aguda,4
train,DM tipo II,5
train,historia Neoplasia de mama,6
train,DIABETIS MELLITUS,10
train,Esteatosis hepatica,5
train,ile por trisomía 21,6
train,65581,5
train,CÓLICO RENOURETERAL,9
train,Limfopenia,5
train,salpingectomía geu izq lap,10
train,histerectomia abdomial radical,8
train,fa,3
train,ciprofloxacino,3
train,diseminación peritoneal,4
train,Fractura supracondilea humeral izquierda,9
train,Gamaglobulina anti D,8
train,fibroadenomas,5
train,hematíes,3
train,Linfadenectomía iliaca,6
train,Esclerosis múltiple parto,5
train,drenaje absceso anal,5
train,prolapso uterino,4
train,anemia pp,4
train,Prótesis de rodilla izquierda,6
train,Malnutrición protéica,7
train,Limfadenectomia pèlvica,10
train,Ampicilina,4
train,Distímico,6
train,miopía parto,4
train,Rinitis intermitente,5
train,antibiòtico,5
train,Disfonía,4
train,ansioso-depresivo,5
train,Ertapemen,6
train,sjogren,6
train,gemelar monocorial-biamniótica,11
train,Anexohisterectomía,5
train,HERNIOPLASTIA INGUINAL Derecha con malla,15
train,NEOPLASIA vesical multiple,7
train,HIerro,5
train,depressió,4
train,miocardiopatia hipertrófica no obstructiva,7
train,Diabetis Gestacional,8
train,Gastritis crònica,4
train,K91.840,7
train,Prótesis total de cadera derecha,7
train,Salpingooforectomia,8
train,596.89,6
train,ADENOMIOSIS,6
train,Protesis de cadera,6
train,laringomalacia,4
train,linfadenectomia PARAaórtica,7
train,Hipoglucemia,4
train,hijo de madre diabética,6
train,varices esofágicas,4
train,rectorragia,3
train,pielonefritis aguda derecha,5
train,hernia inguinalbilateral,6
train,cefalea pulsátil,4
train,extracción MANUAL placenta,5
train,ILPP pierna derecha,6
train,hipotiroidsimo part,7
train,UROPATÍA OBSTRUCTIVA IZQUIERDA,9
train,hiperk,4
train,Adenocarcinoma de endometrio,5
train,Grupo sanguíneo: A + -,8
train,Epilepsia part,4
train,Anemizante,5
train,40 sg,5
train,recambio PTC derecha,6
train,Elongacio hipertrofica de coll uteri,12
train,H33.031,7
train,reimplante ureteral,5
train,RX de tórax y abdomen,7
train,Alergia Voltaren,6
train,783.3,6
train,Desgarro IIIb,6
train,ANTI-D,5
train,polipo gastrico,6
train,trasplante,3
train,Insuficiencia cardiaca,4
train,L00,4
train,Anemia puerperal,4
train,obesidad mórbida part,5
train,diverticulosis,4
train,Alergica a penicilina,6
train,ca ovario,4
train,TC ABDOMINO-PELVICO CON CONTRASTE,14
train,Lesiones cutáneas,4
train,hta irc icc,8
train,cetosis,4
train,migraña crónica,4
train,Alergica a contrastes,6
train,panículo adiposo,5
train,ansioso parto,4
train,útero miomatoso part,6
train,Historia de COVID,5
train,hidronefrosis parto,4
train,botón gástrico,4
train,Conización,4
train,edema cuerdas vocales,5
train,sedante,3
train,Bufeta neurògena,8
train,nefrectomía,3
train,nódulos tiroideos parto,5
train,DESPROPORCIÓN PÉLVICO CEFÁLICA,14
train,Alergias medicamentosas: Sulfamidas,8
train,nutricion parenteral,5
train,Anemia por déficit de Vitamina B12,9
train,"Fisura anal,",6
train,Ecografía-Doppler de troncos supraaórticos,9
train,miastenia gravis parto,5
train,Somnoliento,5
train,Hemitiroidectomía izquierdo,6
train,HTP,3
train,ulcus gástrico parto,6
train,Transversa anteparto,6
train,resección de Rectosigma,7
train,mieloma múltiple,4
train,Hiperrreactividad bronquial,7
train,ANEXECTOMÍA DERECHA LAPAROSCOPICA,12
train,barrera idiomatica,5
train,Enfermedad de Kawasaki,6
train,Hepatitis autoinmune,4
train,ADK colon,5
train,Ecografía de tórax,5
train,Ingesta de cáustico,7
train,parto gemelar,4
train,estrenyiment,5
train,eco tv,4
train,Se administra gammaglobulina anti-D.,10
train,Parvovirus B19,6
train,ecoTV,4
train,dolor boca,4
train,Cesària anterior,5
train,TAC cráneo,4
train,colonoscopia biopsia,4
train,Intussuscepció,7
train,hipoglicemia,4
train,Mutismo,4
train,Duodeno,5
train,pielografía retrógrada,5
train,Conización con asa de diatermia,9
train,Ansiedad parto,4
train,Fractura radi distal,5
train,Recién Nacido,4
train,inhibicion de lactanica,8
train,Hernia de hiatus,6
train,Hipotiroidismo tras tiroidectomía,6
train,Valvulopatía mitroaórtica,9
train,TC renal,4
train,FA crónica,4
train,ANEXECTOmIA,8
train,video EEG,4
train,Histeroscopia,5
train,insufiencia respiratoria aguda,6
train,"Grupo sanguíneo 0, Rh: Negativo",9
train,H61.031,7
train,Rinitis alergica parto,7
train,anemia 2t,5
train,bronquitisleve,4
train,Anemia 3t,5
train,parada cardiaca,4
train,Hernia umbilical lap,6
train,huevo huero.,6
train,preeclampsia leve,4
train,: A NEGATIVO,6
train,Quadre viral,5
train,Síndrome parkinsoniano,5
train,Sd de West,5
train,fístula rectovaginal,5
train,DGNID,5
train,ANALGÉSICO,6
train,Alergia lidocaína,4
train,Historia de Neoplasia maligna de colon,8
train,cervix corto parto,6
train,OOFORECTOMÍA IZQUIERDA,8
train,Migrañas PARTO,6
train,mastectomía,3
train,cesarea anterior,5
train,RICHTER,5
train,Metrorragia abundante,5
train,Inmunodeficiencia,3
train,Presbiacusia,5
train,Cesarea anterior,5
train,MTX AXILAR,6
train,TC Abdominal,4
train,quimioterápico,3
train,tratamiento quimoterápico,6
train,hta icc,6
train,Rinitis Alergica parto,7
train,ADENOMA PARATIROIDEO,9
train,lavados vesical,4
train,Traqueomalacia congenita,8
train,bronquiolitis VRS,4
train,ANEXECTOMIA BILATERAL lap,9
train,adhesiolisis,5
train,Paciente institucionalizada,5
train,déficit factor XIII parto,6
train,G40.411,7
train,biopsia mama izquierda,5
train,Urticaria crónica parto,6
train,cesárea anter,4
train,hipotiroidsimo part,7
train,sueroterapia,3
train,pneumònia bilobar,8
train,v1509,5
train,Alergia al Látex,6
train,Hepatitis B parto,5
train,bradicardia de expulsivo,6
train,quiste de bartholino sobreinfectado,11
train,Carcinoma endometrioide,5
train,Ecografía testicular,4
train,dermatitis atópica part,5
train,Doble anexectomia laparocopia,7
train,antiobiótico,5
train,Mioclonias,5
train,35 años,4
train,Anemia ferropènica,6
train,tratamiento analgésico,4
train,nutrición parenteral,4
train,Dermatitis atópica,4
train,itu 2t,6
train,A positivo,4
train,nauseas y vomitos,5
train,Grupo sanguíneo: A +.,7
train,Biopsia peritoneal lap,6
train,cacahuete,4
train,circular en mano,5
train,SALPINGUECTOMÍA BILATERAL lap,11
train,RUBEOLA NO INMUNE,9
train,doble anexectomia,5
train,alopecia areata,5
train,Pseudomonas aeruginosa,4
train,osteoma,4
train,Colestasis parto,6
train,sangrado vaginal,4
train,hipoparatiroidismo secundario,5
train,Intervenida de neoplasia de recto,7
train,POLIQUISTOSIS RENAL,8
train,desgarro vaginal,4
train,ferida menton,6
train,tumorectomia,4
train,síncopes,3
train,coronariografía,3
train,Polimialgia reumática,6
train,historia TEP,4
train,taquicardias,3
train,Hipotirodismo central,6
train,Depresion parto,6
train,sangrado posparto,4
train,MF,3
train,DA,3
train,ansiedad 3t,5
train,Rcfi cubito izquierdo,8
train,cuerpo lúteo hemorrágico,6
train,Steinert,4
train,gcp,4
train,v13.67,6
train,PLACENTITIS,6
train,MIOPIA MAGNA PARTO,9
train,Depresión-ansiedad,5
train,osteoporótico,4
train,alergia gat,5
train,gestación gemelar part,5
train,estreptococo agalactiae,7
train,Leiomiomas uterinos,7
train,Grupo 0 Rh positivo,6
train,Rx de torax,5
train,histerectomía total,4
train,tumorecTOMÍA MAMA DERECHA,9
train,Ecografia abbdominal,7
train,COVID part,4
train,miastenia gravis,4
train,TC toracoabdominal,5
train,Gardenella,5
train,anemia anteparto,5
train,Hematíes,3
train,DRENAJE mama derecha,7
train,Friedrich,3
train,re +,4
train,Hepatopatía,4
train,V14.0,6
train,ira,3
train,Alérgica a: Penicilina,8
train,ALÉRGICA A PENICILINA,9
train,Hipertensión pulmonar moderada,5
train,metrorragia,3
train,TAC de cuello,5
train,Hipoacúsia,6
train,Taquicardia parto,4
train,Hermana: Cancer de ovario,8
train,desgarro II grado,5
train,Alérgica a Penicilina,7
train,osteomielitis crónica mano,5
train,rinitis alérgica part,5
train,dinámica uterina,4
train,Cérvix corto,4
train,Carcinoma infiltrante,4
train,hta + ERC 4,7
train,DRENAJE DE ABSCESO DE MAMA DERECHA,13
train,h FX,4
train,Fibrocolonoscopia,5
train,Estreñimiento pertinaz,6
train,Radiculopatía cervical,6
train,Dexametasona,3
train,Maltrato físico,5
train,Incidentaloma suprarrenal izquierdo,7
train,Sinusitis parto,6
train,nalgas,3
train,litiasis renales,4
train,38+6 semanas,6
train,Déficit vit B12 part,7
train,Gammaglobulina anti D,6
train,Gestación gemelar bicorial/biamniótica,12
train,Comunicacion interauricular,6
train,Historia de LITIASIS RENAL,9
train,Mutación gen protrombina anteparto,8
train,feto vivo,4
train,TC facial,4
train,M1 suprarrenal,5
train,síndrome antifosfolípido parto,6
train,0 RH: positivo,6
train,hernia inguinal izquierda,5
train,40+1 setmanes,7
train,Eritema multiforme,4
train,salpingectomia bilateral,6
train,reseccion vagina,5
train,celulitis abd,4
train,Vértigos paroxístico benigno,7
train,MASTECTOMÍA BILATERAL,8
train,anticoagulada,3
train,bypass aortocoronario,6
train,40SG,4
train,RX torax,4
train,TEA,3
train,von Willebrand parto,6
train,M1 óseas,5
train,HLP,4
train,CST,4
train,VAC,3
train,miomas subserosos,6
train,ECO,3
train,parto estacionado,5
train,Narcolepsia,5
train,gonartrosis izquierda,5
train,FIBROMA OVÁRICO IZQUIERDO,10
train,LCR,3
train,RN,3
train,Sutura vagina,4
train,anemia parto,4
train,E74.10,6
train,orquiectomia izquierda,6
train,Atrofia muscular espinal,5
train,Implante LIO od,5
train,Radiografia de abdomen,6
train,Hospital,3
train,Anhidramnios,6
train,SAHos,5
train,Ureaplasma Urealyticum,8
train,HISTERECTOMÍA laPAROSCÓPICA,13
train,cannabis part,4
train,NEOPLASIA DE MAMA BILATERAL,9
train,hemorragia postparto,4
train,histerectomía,3
train,Hipertensión Enfermedad renal crónica,6
train,miringotomía bilateral,6
train,historia Adenocarcinoma de pulmón,6
train,O Rh NEGATIVO,5
train,deterioro cognitivo leve,5
train,Hipoglucemias en dm,8
train,furosemida,3
train,radiculopatía lumbar,5
train,itu anteparto,6
train,podalica,5
train,cistectomía radical laparoscópico,6
train,Rotura prematura de membranas anteparto,8
train,PreDiabetes,4
train,hepatitis cronica,4
train,Alérgica a AAS,6
train,gammapatía monoclonal,5
train,Pielografía,5
train,Alérgica a la Penicilina,8
train,GRUP: B +,6
train,O rh negativo,5
train,HTA IRC icc,6
train,transversa 2,4
train,GASTRITIS CRÓNICA ATRÓFICA,10
train,corticoterapia,3
train,ureteroscopia,5
train,24 semanas,4
train,diarrees,4
train,Omentectomía,5
train,Amniorrexis artificial,8
train,Gastroenteritis,4
train,Metrorragias postmenopáusicas,7
train,obesidad,3
train,Alergia a la amoxicilina,6
train,Neuroblastoma,4
train,esteroides,3
train,FRACTURA DE RADIO DISTAL IZQUIERDO,8
train,liquido pleural,4
train,PNA 3t,5
train,Historia neoplasia pene,5
train,Poliomielitis,4
train,anemia 2t,5
train,fiebre prolongada,4
train,RM DE PELVIS,6
train,crisis comicial parcial,5
train,e.coli,5
train,Hiperhidrosis palmo-plantar,8
train,cardiopatia isquémica,5
train,rotura artificial membranes,6
train,Historia neo tiroides,5
train,Ecografia trasfontanelar,8
train,inducción médica,4
train,"CISTOCELE, LATERAL",8
train,diverticulosi,5
train,útero bicorne parto,7
train,40 .5 semanas,6
train,Coxartrosis izquierda,5
train,pielonefritis de repetició,6
train,orquidopexia bilateral lap,8
train,expretérmino,5
train,0+,4
train,linfadenectomía aortica,4
train,Fiebre en puerperio,5
train,Diabetes gestacional tratamiento con insulina,7
train,Insuficiencia cardíca,6
train,sondaje vesical,4
train,crisis epiléptica,4
train,renal parto,4
train,Rx tórax,4
train,MMC postoperatoria,5
train,Agorofobia,5
train,L12.0,6
train,0020 anteparto,6
train,Multípara,5
train,neoplasia mucinosa,6
train,Conjuntivitis alérgica,5
train,Colon irritable part,5
train,Autismo,3
train,Linfadenectomia pélvicas,6
train,suero fisiológico,4
train,septoplastia,4
train,Trichomonas vaginalis,6
train,TC DE ABDOMEN SIN/CON CONTRASTE,11
train,absceso MAMA DERECHA,6
train,RCIU anteparto,7
train,Neoplasia mama,4
train,Leucocitosis,4
train,vaginosis,4
train,gestacion cronologicamente prolongada,8
train,HTA ERC icc,6
train,bicorial- biamniótica,9
train,tubulopatía renal,5
train,40 parto,4
train,hipertension,4
train,Transtorno limite de la personalidad part,9
train,anagesia,5
train,Vértigo,4
train,lente intraocular,4
train,Anemia microcitica,6
train,Incontinencia de orina,5
train,catèter venós central,8
train,hiperglicemia,4
train,hipocloremia,5
train,sospechosa de pérdida de bienestar fetal,8
train,Vértigo periférico paroxístico benigno,8
train,Ex prematuritat,6
train,cuerpo luteo ovario derecho,7
train,LINFOMA NO HODGKIN FOLICULAR,11
train,bicorial / biamniótica,9
train,vulvectomía parcial,6
train,desgarro de II,5
train,Grupo sanguineo: A rh positivo,9
train,nebulizado,4
train,artroplastia total de cadera bilateral,7
train,litiasis ureter izq,6
train,ANEMIA PP,4
train,Historia de ACVA,6
train,Ecografía transfontanelar,7
train,Disgenesia de tronco encefálico,7
train,Rubeola NO inmune,7
train,retinopatía dm 1,6
train,Asma parto,4
train,Alergias medicamentosas; AAS.,7
train,Prostatitis crónica,6
train,biopsia renal derecha,5
train,Grupo sanguineo materno A positivo,8
train,historia familiar ca ovario,6
train,SONDAJE VESICAL,8
train,desnutrición severa,4
train,síndrome ansioso-depresivo,6
train,ETT,3
train,Pólipo vesicular,5
train,hipoplasia renal izda,5
train,Marihuana part,5
train,: 40 semanas,6
train,temblor esencial,4
train,lipoma escapular derecho,5
train,colostomia,4
train,Amniocentesis,5
train,estridor,3
train,Gammagrafía ósea,5
train,campo futbol,4
train,migrañas part,4
train,febrícula 2,4
train,líquido teñido,5
train,Discapacidad intelectual lleu,5
train,Ecografia torácica,5
train,ANEXECTOMÍA IZQUIERDA LAPAROSCÓPICA,14
train,Hipotiroidismo 3t,5
train,leiomioma submucoso,8
train,VPH parto,4
train,NST,4
train,Sinusitis parto,6
train,Esclerodermia,5
train,enterocele,4
train,prematuridad,3
train,shock,3
train,Grupo sanguíneo A+,6
train,submaxilectomia izquierda,7
train,irc,4
train,29 semanas,4
train,borto diferi,6
train,hernioplastia inguinal bilateral malla,8
train,poliquistosis renal,5
train,Talla baixa,5
train,Protesis rodilla bilateral,6
train,Dpf,5
train,Enteropatía pierde-proteínas,7
train,Histerectomia laparoscópica,6
train,ANEXECTOMÍA DERECHA lap,9
train,Dm gestacional anteparto,7
train,40 +3 sg,7
train,celulitis pie derecho,5
train,afonía,4
train,TC abdominal,4
train,duplicidad ureter,6
train,Hipertensión Insuficiencia cardíaca Insuficiencia renal crónica,8
train,nalgas incompletas,5
train,Retraso psicomotor,4
train,Polineuropatía diabética,5
train,bronquiectasias,3
train,S. epidermidis,5
train,Migraña sin aura part,6
train,Desgarro perineal : II,8
train,fibrobroncoscopia biopsia,6
train,quemadura pie izquierdo,5
train,trombopenia part,4
train,DORSAL ANCHO mama izquierda,9
train,HIPOTIROIDISMO 3t,9
train,Estenosis aórtica ligera,5
train,reflujo gastroesofágico parto,5
train,náuseas y vómitos,5
train,broncoaspiración,3
train,anexectomía bilateral lap,7
train,ALERGIAS sulfamidas,6
train,Parálisis facial derecha,5
train,ALERGIA AL ESPARADRAPO,8
train,Lumbalgias,5
train,bolsa rota prolongada,5
train,Mastectomia tipo Madden mama derecha,9
train,heparina,3
train,Endometriosi pelvica,8
train,Anemia ferropénica crónica,5
train,Orquiectomía derecha,6
train,IUE,4
train,alcochol,5
train,secuela Afasia,5
train,cicatriz queloidea,6
train,epifisiodesis tibial,6
train,Hematèmesi,6
train,Neoplasia endocrina múltiple,5
train,Espina bífida,5
train,interrupción voluntaria del embarazo,6
train,cesària,4
train,trombocitopenia parto,4
train,alergia Àcars,6
